Distances,Hannover,Hyderabad,Amman,St. Petersburg,Munich,Hamburg,Bologna,Moscow,Dubai,Beijing,Kyoto
Hannover,0.00,6263.94,2955.27,1684.13,488.46,131.77,884.89,2017.93,4450.06,7739.32,9221.49
Hyderabad,6263.94,0.00,3434.22,5853.95,5875.12,6337.12,5660.55,5173.50,1863.96,3689.13,4551.05
Amman,2955.27,3434.22,0.00,3152.51,2515.27,3050.67,2250.91,2663.91,1570.51,5812.54,7152.87
St. Petersburg,1684.13,5853.95,3152.51,0.00,1864.79,1612.05,2179.10,698.68,4271.33,6543.57,8048.82
Munich,488.46,5875.12,2515.27,1864.79,0.00,613.37,407.17,2034.39,4040.26,7537.82,9003.90
Hamburg,131.77,6337.12,3050.67,1612.05,613.37,0.00,1013.81,1985.90,4532.19,7752.21,9238.30
Bologna,884.89,5660.55,2250.91,2179.10,407.17,1013.81,0.00,2246.78,3806.94,7514.34,8961.70
Moscow,2017.93,5173.50,2663.91,698.68,2034.39,1985.90,2246.78,0.00,3641.94,5900.23,7402.94
Dubai,4450.06,1863.96,1570.51,4271.33,4040.26,4532.19,3806.94,3641.94,0.00,4666.68,5870.62
Beijing,7739.32,3689.13,5812.54,6543.57,7537.82,7752.21,7514.34,5900.23,4666.68,0.00,1505.69
Kyoto,9221.49,4551.05,7152.87,8048.82,9003.90,9238.30,8961.70,7402.94,5870.62,1505.69,0.00